Cultivar,Epithet,Category,Color / Form,Description,Notes,Image URL
Adalyn,Camellia japonica 'Adalyn',J,White with Pink Edges,"Ornamental evergreen shrub, 10-12ft height, zones 7-9.","Listed in the ACS Camellia Encyclopedia and featured on the Judge Arthur Solomon Camellia Trail in Savannah, Georgia. This elegant bicolor japonica produces striking blooms with crisp white petals delicately edged in soft pink. The lustrous dark green foliage provides excellent contrast to the flowers. Well-suited to Southern gardens, it thrives in partial shade with acidic, well-drained soil. A reliable performer for landscape use with good cold hardiness through zone 7.",https://www.americancamellias.com/education-and-camellia-care/acs-camellia-encyclopedia/camellias-beginning-with-a/adalyn
Adrian Bourres,Camellia reticulata 'Adrienne Boueres',RH,Pink / Rose Form Double,"RETICULATA HYBRID.; Registered 2013; 9-year chance seedling, first bloomed 2008; Spreading, at average growth rate","Adrienne Boueres is a reticulata hybrid camellia, registered in 2013. Grown as a 9-year-old chance seedling that first bloomed in 2008. The flowers are rose form double in form, displaying pink coloring. Plant growth is spreading, at average growth rate. Foliage features green leaves average 12. As a reticulata hybrid camellia, Adrienne Boueres is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Adrian Bourres' and is registered as 'Adrienne Boueres'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Adrienne+Boueres
Amanda Ann,Camellia japonica 'Amanda Ann',J,Dark Red / Formal Double,"JAPONICA.; Registered 2014; Steve and Gayle Lawrence of Tallahassee, Florida and registered by Randolph Maphis of Tallahassee, Florida and propagated by Randolph Maphis and Steve Lawrence; Upright and spreading","Amanda Ann is a japonica camellia originated by Steve and Gayle Lawrence of Tallahassee of Florida and registered by Randolph Maphis of Tallahassee, Florida and propagated by Randolph Maphis and Steve Lawrence, registered in 2014. First published in the American Camellia Yearbook. It arose as a chance seedling . The flowers are formal double in form, displaying dark red coloring. Growth is upright and spreading. Foliage features medium green leaves average 12. As a japonica camellia, Amanda Ann is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Amanda+Ann
Angel Wings,Camellia x williamsii 'Angel Wings',NRH,Pink Variegated / Semi-double,"NON-RETICULATA HYBRID.; ACS #1535 (1970); Kramer, Upland, California; Upright petals; Kramer’s Nursery Catalogue, 1970; American Camellia Yearbook, 1979, p.102, Reg. No.1535: A medium size, white, washed and shaded orchid pink, semi-double, with narrow, upright petals. C.x hybrid (C.japonica Dr Tinsley x C.saluenensis), mid-season flowering; originated by Kramer’s Bros. Nursery, Upland, California, USA. Plant growth, medium and compact. Received the Dr John Taylor Award for outstanding hybrid in 1973. For colour photos see: SCCS, 1974, The Camellia Review, frontispiece; Macoboy, 1981, The Colour Dictionary of Camellias, p.182 and the 1978, American.","Angel Wings is a non-reticulata hybrid camellia originated by Kramer of Upland, California, USA, registered in 1970 (ACS Reg. No. 1535). First published in the American Camellia Yearbook. The flowers are semi-double in form, displaying pink variegated coloring. Plant growth, medium and compact. As a non-reticulata hybrid camellia, Angel Wings is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Angel+Wings
Angelina Vieira Variegada,Camellia japonica 'Angelina Vieira Variegada',J,White / Formal Double,"JAPONICA.; Registered 2014; Viveiro das Camélias S. Martinho de Recesinhos Penafiel; Jorge Garrido, 2014. Portuguese Camellias-History & Beauty. p.152. with a color photo, but no description. Originated by Viveiro das Camélias S. Martinho de Recesinhos Penafiel, Portugal.","Angelina Vieira Variegada is a japonica camellia originated by Viveiro das Camélias S. Martinho de Recesinhos Penafiel of Portugal, registered in 2014. The flowers are formal double in form, displaying white coloring. As a japonica camellia, Angelina Vieira Variegada is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Angelina+Vieira+Variegada
Ann Clayton,Camellia japonica 'Ann Clayton',J,White shading to Pink / Formal Double,"Miniature flowers; 15-year-old seedling first bloomed 1964; Dr. J.M. Habel, Suffolk VA; ACS #1658 (1980); late flowering.","Ann Clayton is a miniature camellia with delicate white flowers blushing to soft pink, representing a late-season japonica from American breeding programs of the 1960s. Originated as a chance seedling by Dr. J.M. Habel of Virginia, this cultivar was registered with the American Camellia Society and documented in their yearbook. It exemplifies the diversity of American camellia breeding that expanded the palette of available forms and colors beyond traditional Asian cultivars. (Source: American Camellia Society Encyclopedia)",https://camellia.iflora.cn/Cutivars/Detail?latin=Ann+Clayton
Annie Tee,Camellia japonica 'Annie Tee',J,Pink Variegated / Peony,"JAPONICA.; ACS #963 (1968); Mrs Annie T. Williams, Dotham, Alabama; 5-year chance seedling, first bloomed 1961; Upright, dense and medium in rate with 7","Annie Tee is a japonica camellia originated by Mrs Annie T. Williams of Dotham, Alabama, USA, registered in 1968 (ACS Reg. No. 963). First published in the American Camellia Yearbook. Grown as a 5-year-old chance seedling that first bloomed in 1961. The flowers are peony in form, displaying pink variegated coloring. Plant growth is upright, dense and medium in rate with 7. As a japonica camellia, Annie Tee is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Annie+Tee
Anoika,Camellia japonica 'Anoaika',J,Unknown / Unknown,Limited information available in English sources; Japanese cultivar with possible regional significance.,"Anoika (also recorded as 'Anoaika') is a Camellia japonica cultivar with limited documentation in readily accessible English-language sources. The cultivar name suggests Japanese origins following traditional naming conventions, but comprehensive information regarding color, form, blooming season, size, and originator is not widely available in international camellia registries. Further research through Japanese horticultural resources or camellia societies specializing in Asian cultivars would be necessary for detailed botanical and historical information. (Limited information available)",https://camellia.iflora.cn/Cutivars/Detail?latin=Anoaika
Asakura,Camellia sasanqua 'Asakura',S,Graduated Shading / Semi-double,"SASANQUA.; Registered 1974; Hakoda, 1974, Nōkōdai Nōjōhō, No.6, p.37; SCCS, 1981, Camellia Nomenclature, p.185: White, shaded pale red. Large size, semi-double. Early flowering. Differ­ent reading: ‘Asagura’. Originated in Kurume, Fukuoka Prefecture, Japan. Named by Shunsuke Hisatomi. Synonym: ‘Ake­bono-fuji’. Chinese synonym: ‘Zhaocang’. International Camellia Society, 2023. Splendid Sasanquas, an International Ornament, p.26.","Asakura is a sasanqua camellia, registered in 1974. The flowers are semi-double in form, displaying graduated shading coloring. As a sasanqua camellia, Asakura is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Asakura
Augusto Leal de Gourela Pinto  /  Andre (Port. 1819),Camellia japonica 'Augusto Leal de Gouveia Pinto',J,White / Formal Double,"JAPONICA.; Registered 1904; Real Companhia Horticolo-Agricolo. Portuense Catalogue, (ca.1904), No.40, p.68: A white margined form of Grand Sultan, invalidly as ‘Mathotiana’. A very narrow border on each petal. Colour, bright carmine, heavily flushed lavender. The bloom takes on a blue hue in some micro-climates. See colour plate in Urquhart, 1956, The Camellia and back cover, RHS., 1988-1989, Rhododendrons with Magnolias and Camellias, No.41. Othographic abbreviations: ‘Augusto Pinto’, ‘Augusto Leal’, ‘Augusto Gouveia Pinto’, ‘Augusto L. Gouveia Pinto’, ‘Augusto L’Gouveia Pinto’. For another form of.","Augusto Leal de Gouveia Pinto is a japonica camellia, registered in 1904. The flowers are formal double in form, displaying white coloring. Awards and recognition: RHS; RHS, Award of Merit, 1958. As a japonica camellia, Augusto Leal de Gouveia Pinto is valued for its ornamental qualities in gardens across temperate regions. It performs best in partial shade with acidic, well-drained soil rich in organic matter. Regular mulching helps maintain the shallow root system, and protection from harsh afternoon sun preserves flower quality. This cultivar is suitable for both landscape use and exhibition, contributing reliable blooms during the camellia season. Note: This cultivar is listed in the local collection as 'Augusto Leal de Gourela Pinto  /  Andre (Port. 1819)' and is registered as 'Augusto Leal de Gouveia Pinto'. (Source: International Camellia Register)",https://camellia.iflora.cn/Cutivars/Detail?latin=Augusto+Leal+de+Gouveia+Pinto
